tic_id,toi,disposition,epoch_bjd,period/days,duration/hours,depth,planet_radius,stellar_radius,stteff,logg,tess_mag,label,prob_planet,rank
392681545,6054.01,CP,2459913.121951,7.4903271,5.800713,225.5988767,2.5277726,1.61211,6111.67,4.08398,7.4961,1,0.9240381086561963,112
130924120,757.01,CP,2460039.192903,17.4682298,3.491,926.0,2.17884,0.76,5499.0,4.39962,9.0498,1,0.9237200365339343,113
100389539,4791.01,CP,2459246.158055,4.2809767,3.145,7520.0,13.0113,1.49,5964.0,4.13,10.8961,1,0.923368624816055,114
360630575,1097.01,CP,2459376.410518,9.188506,2.492,460.0,2.16591,0.98,5876.0,4.48,8.7215,1,0.9230407627335987,115
464646604,4399.01,CP,2459037.871491,7.7121208,2.4343481,728.4849109,3.004038,1.08958,5985.4,4.4,7.7582,1,0.9227288703137915,116
445805961,1710.01,CP,2460439.666809,24.2833782,5.132,2844.0,5.21152,0.98,5675.0,4.46,8.9134,1,0.9209977181560065,117
101011575,560.01,CP,2459982.845399,6.3980642,2.004,1656.0,2.62025,0.63,4695.0,4.5,8.5925,1,0.9204135282939886,118
306263608,1471.02,CP,2459462.51672,52.5637056,6.5,1193.0,3.28372,0.97,5625.56,4.46798,8.5725,1,0.920390962740469,119
418604868,5817.01,CP,2459799.303854,15.6146058,5.8168055,467.1437307,3.0272584,1.3820699,5809.0,4.17404,8.0581,1,0.9199985960815459,120
229747848,1347.01,CP,2459664.026959,0.8474218,0.8758764,424.3932848,1.7536544,0.846387,5300.0,4.56,10.7157,1,0.9197780574878408,121
368435330,1797.01,CP,2459631.901476,3.6451549,2.055,780.0,2.99324,1.05,5922.0,4.43,8.6259,1,0.9196917196805544,122
166184428,4336.01,CP,2459335.573188,16.3363665,1.9933922,3884.6785375,2.0492403,0.326568,3365.0,4.89744,11.0196,1,0.9189702648715217,123
142381532,1823.01,CP,2460345.348566,38.8135498,5.944,9593.0,8.20695,0.82,4760.0,4.49,9.7722,1,0.9185182610036658,124
39699648,1778.01,CP,2458875.997532,6.5273884,3.1190657,415.430891,2.8972637,1.32944,6023.0,4.23995,8.4594,1,0.9183979231894278,125
290348383,1099.01,CP,2460140.220927,6.441006,1.812,914.0,2.56374,0.8,4867.0,4.438,7.3661,1,0.9179890030307595,126
63898957,261.02,CP,2458389.727185,13.0393586,4.9218325,625.5995687,3.3482223,1.31383,5890.3,3.92,9.03971,1,0.9170882537912252,127
178155732,396.03,CP,2459117.261055,11.2304605,3.6009978,208.629137,2.0754665,1.2845,6308.31,4.438,5.9053,1,0.9168790731622936,128
229650439,1438.01,CP,2460641.839847,5.1396666,0.8991981,769.5996824,2.259057,0.815924,5374.0,5.96065,10.3237,1,0.9168338132871152,129
120896927,402.01,CP,2459139.126535,4.7559737,2.5469696,398.6310113,1.725417,0.841842,5175.2,4.37657,8.3157,1,0.9164551061697088,130
263003176,130.01,CP,2458336.557651,14.3392144,4.6064739,392.6346872,2.2963233,1.1374201,6295.7,4.438,7.4371,1,0.916340739907184,131
33692729,469.01,CP,2458474.569581,13.6308024,4.3426564,1179.1033339,3.5493962,1.00528,6114.0,4.5101,8.7615,1,0.9160338873382691,132
35009898,654.01,CP,2458543.433731,1.5275639,1.3727055,2892.4227936,2.6103318,0.427953,3433.0,4.89676,12.2255,1,0.9155103937092504,133
380887434,4527.01,CP,2459474.200243,0.3994445,0.8028796,330.8173737,0.9086617,0.485948,3702.0,4.75,9.16764,1,0.915444059657313,134
134200185,500.01,CP,2458468.391033,0.5481573,0.9424668,226.8573536,1.3591774,0.751825,4590.0,4.50961,9.4022,1,0.914981116391152,135
44737596,552.01,CP,2458413.060435,2.788654,1.8900186,26339.9057953,9.665126,0.587106,3654.0,4.438,13.8231,1,0.9141502496098878,136
339672028,481.01,CP,2460205.951586,10.3311664,5.626,4577.0,11.9428,1.73,5760.0,3.97699,9.3935,1,0.912860593847833,137
4918918,5747.01,CP,2458870.47457,0.5734766,0.9004508,818.3903403,1.4969531,0.420908,3466.0,4.80761,10.7818,1,0.9122248733283125,138
429358906,782.01,CP,2458577.042174,8.0239811,1.7082731,4010.0577601,2.5926653,0.406516,3331.0,4.94964,12.2875,1,0.912101580326552,139
260708537,486.01,CP,2460204.281897,1.7447031,1.066,160.0,0.591815,0.43,3445.0,4.85243,9.36854,1,0.9120620191233901,140
91987762,1898.01,CP,2459531.564033,45.5221456,4.3839392,3028.5453279,9.7055757,1.61034,6303.91,4.11765,7.4098,1,0.9116675136711158,141
391949880,128.01,CP,2460175.867159,4.9404714,1.954,455.0,2.3216,1.13,6086.0,4.26269,7.9849,1,0.9115776656522732,142
58542531,1683.01,CP,2458816.411524,3.057524,1.3790503,1117.9638175,2.4878486,0.695095,4402.0,4.59,9.794,1,0.9108453907724204,143
404518509,4320.01,CP,2459160.014156,25.1290153,4.271,465.0,1.93226,1.04,5871.0,4.43296,8.6022,1,0.9105630855387441,144
395171208,1333.01,CP,2459847.968306,4.7201912,4.416,6710.0,15.2105,1.8,6696.0,4.08,9.03527,1,0.9104220593606418,145
441420236,2221.01,CP,2459041.281746,8.4536777,3.5738006,2872.2887525,4.0269258,0.698009,3588.0,4.60198,6.755,1,0.9103609317453418,146
37749396,260.01,CP,2458392.294018,13.4758478,2.0643913,708.9461601,1.9840882,0.618173,4111.0,4.6461,8.4991,1,0.9101468189044815,147
259377017,270.02,CP,2458389.679336,11.3795653,2.2350305,3147.0461739,2.2539464,0.374358,3551.0,4.83982,10.4981,1,0.9098386678779341,148
150151262,712.04,CP,2460082.804195,84.83869,5.194,1020.0,2.03857,0.72,4504.0,4.58833,9.9059,1,0.9092510502713421,149
29781292,282.03,CP,2458355.648726,84.2607645,10.925059,440.1660616,3.4359102,1.41189,6321.0,4.22436,8.9387,1,0.9089116204290454,150
285048486,1728.01,CP,2459604.399093,3.4913952,1.763,5400.0,4.9395,0.63,3907.0,4.62346,10.7921,1,0.9088506952766622,151
52368076,125.02,CP,2460202.049893,9.1549418,2.457,1101.0,2.62011,0.85,5154.0,4.47072,10.1985,1,0.9076695794317041,152
394722182,2236.01,CP,2459389.337457,3.5315897,2.689,7230.0,14.2116,1.62,6209.0,4.09,10.8673,1,0.9075578658859675,153
102840239,815.01,CP,2460026.624284,11.1972769,3.061,1301.0,2.62397,0.76,4953.9,4.59,9.36,1,0.9068179590894472,154
271169413,4559.01,CP,2458597.872164,3.9649053,1.6788114,1160.5626137,1.4999935,0.426767,3476.0,4.80232,10.9139,1,0.9063282536819608,155
233087860,1184.01,CP,2460558.350441,5.7484439,1.76,1041.0,2.35215,0.69,4534.0,4.61,9.9469,1,0.9058664415372001,156
246965431,5319.01,CP,2459884.041681,4.0785273,1.561,4530.0,3.74681,0.48,3580.0,4.77,12.0828,1,0.905163687285424,157
287256467,2141.01,CP,2460453.432236,18.2616878,3.434,971.0,2.85973,0.94,5674.0,4.49483,8.8975,1,0.9051577621326534,158
260647166,1233.04,CP,2458572.107559,3.79589,2.4602856,317.5272928,1.553135,0.864173,5723.87,4.438,8.6522,1,0.9049481361971706,159
