tic_id,toi,disposition,epoch_bjd,period/days,duration/hours,depth,planet_radius,stellar_radius,stteff,logg,tess_mag,prob_planet,rank
7100673,K04032.05,PC,2454968.23173,7.23524221,2.685,60.0,0.82,1.065,5574.0,4.354,12.639,0.9792104414939269,82
10749059,K03086.01,PC,2455085.5348,174.731515,8.257,1179.9,3.0,0.897,5201.0,4.447,15.707,0.9788670422998633,83
1431122,K00994.01,PC,2454965.86187,4.2989201,2.747,237.6,2.12,0.986,5300.0,4.385,14.613,0.9786947477997537,84
9634821,K02037.03,PC,2455188.13518,8.56267266,1.53,608.1,2.26,0.93,5029.0,4.429,15.213,0.9786268380355598,85
5531953,K01681.01,PC,2454971.33927,6.93910337,2.977,614.7,1.41,0.42,3638.0,4.844,15.855,0.9782047431113079,86
12734396,K04303.01,PC,2455113.0733,200.721168,9.91,822.5,3.32,1.17,5566.0,4.275,15.511,0.9780950558942685,87
10875007,K04149.02,PC,2454966.85125,14.708641,5.394,130.6,1.82,1.232,6274.0,4.357,14.718,0.9779336857257211,88
6185476,K00227.01,PC,2454969.585509,17.65737838,3.509,2155.7,2.45,0.47,3745.0,4.784,14.267,0.9778537100870807,89
10813078,K05831.01,PC,2454965.652083,10.552241908,2.7355,954.0,1.75,0.585,4031.0,4.666,15.712,0.9775256109301338,90
10028792,K01574.03,PC,2454965.63426,5.83393857,4.5813,134.4,1.98,1.699,5597.0,3.963,14.6,0.9769530264151023,91
6026737,K02949.01,PC,2454965.3605,10.1747037,5.179,52.4,1.04,1.339,5866.0,4.191,13.313,0.9763096077188037,92
9474756,K03495.01,PC,2454980.1894,17.6062701,6.134,146.2,1.72,1.159,5808.0,4.326,15.135,0.9762465621505485,93
6719086,K01357.01,PC,2455190.37948,3.014330766,2.4747,975.3,2.87,0.953,5209.0,4.446,15.673,0.975963168883338,94
9872292,K01537.01,PC,2454969.69755,10.19154678,6.165,61.3,1.39,1.684,6212.0,4.049,11.74,0.9754872887737516,95
7130612,K05359.01,PC,2454966.3342,2.7200197,1.874,869.0,1.53,0.527,3939.0,4.735,16.56,0.9750025809950674,96
8644911,K05553.01,PC,2455079.252,120.938669,8.818,782.1,2.32,0.843,5456.0,4.477,15.54,0.9747850236259141,97
9634821,K02037.02,PC,2455185.84857,5.47715718,1.3849,568.4,2.17,0.93,5029.0,4.429,15.213,0.9747100639378401,98
8197793,K03123.01,PC,2454976.73591,15.2311195,3.91,269.1,1.94,1.186,5836.0,4.316,15.029,0.9742982414013872,99
12105051,K00141.01,PC,2454965.304988,2.624234833,1.3874,2607.0,5.11,0.899,5340.0,4.514,13.687,0.9741891680033876,100
9100484,K01399.01,PC,2455191.24233,8.75059775,2.8288,881.9,2.27,0.779,4942.0,4.599,15.92,0.9741400887917021,101
8631751,K02453.01,PC,2454964.867506,1.530515205,0.5945,659.7,0.84,0.259,3462.0,5.004,15.63,0.9741110808592685,102
7750419,K01708.01,PC,2454984.44352,32.7737631,3.416,564.5,5.0,1.534,5640.0,4.076,14.758,0.9737428443558217,103
7673192,K02722.05,PC,2454968.409,16.5340022,4.063,89.2,1.17,1.202,6052.0,4.285,13.268,0.9735722493459972,104
5177859,K04246.02,PC,2454965.47009,8.75630628,2.852,81.9,1.12,1.227,5839.0,4.279,13.382,0.9730976928516082,105
9967009,K03462.02,PC,2454974.441,30.9902997,9.454,321.5,2.21,1.229,5480.0,4.22,15.916,0.9727987351456285,106
9414417,K00974.01,PC,2455005.98304,53.5057611,10.5616,195.6,2.52,1.762,6247.0,4.016,9.582,0.9722583017890152,107
10964440,K01310.02,PC,2455089.343,144.688915,9.468,397.1,3.33,1.71,5372.0,4.007,14.569,0.9718187079842897,108
10812541,K07375.01,PC,2454964.90954,4.84847245,0.874,554.7,1.51,0.647,4137.0,4.625,14.849,0.9717033884983529,109
9349757,K03348.02,PC,2454971.8021,17.7189786,4.102,176.8,1.44,1.099,5566.0,4.329,15.246,0.9714722245760544,110
12071754,K04914.01,PC,2454966.55529,5.47455167,3.71,73.2,1.4,1.312,5611.0,4.19,14.211,0.9713138029338498,111
3245969,K01101.02,PC,2454970.69665,11.39110963,2.749,593.4,1.9,0.76,4999.0,4.587,15.681,0.971309940995942,112
8158127,K01015.03,PC,2454976.87301,16.9972894,2.585,225.0,3.14,1.86,5897.0,3.98,14.5,0.9710690167493369,113
8265218,K00522.01,PC,2455002.944919,12.82993461,2.942,1417.4,3.31,0.844,5862.0,4.555,14.406,0.9705070363389774,114
5551672,K03119.01,PC,2454966.67492,2.184437698,1.0422,1546.8,0.94,0.25,3421.0,5.014,16.946,0.9704487328399907,115
3097926,K02186.01,PC,2454976.46174,14.97974335,4.126,1211.8,3.79,0.853,5062.0,4.481,15.549,0.9675591603701583,116
6705142,K01758.01,PC,2454964.86708,5.59728249,1.795,1407.3,3.28,0.858,5610.0,4.551,15.969,0.9673187914031932,117
6934986,K02294.01,PC,2455010.48749,131.485184,5.294,557.8,3.03,1.242,5765.0,4.236,14.895,0.9670976664073236,118
10844890,K01946.01,PC,2454966.50201,8.29482811,2.7437,559.5,2.76,0.939,5773.0,4.478,14.469,0.9668799659608823,119
11357664,K04464.01,PC,2454966.82814,4.373570433,0.623,366.0,1.23,0.64,4362.0,4.623,15.194,0.9659744691641539,120
8760040,K02963.02,PC,2454966.63951,7.35101287,2.757,115.9,1.42,1.262,5951.0,4.283,14.544,0.9658375367093691,121
